row,column,difference
2,1,0.6408527190971047
2,2,0.8962036184557651
3,1,0.9140034019548327
3,3,0.9311663351707073
4,1,0.8292400102952786
4,4,0.9009714057223247
5,1,0.7477184523347848
6,1,0.7215948306912626
7,1,0.8962036184557651
7,2,0.6408527190971047
9,2,0.7960537344876036
10,2,0.8309701694749045
10,4,0.7231107860036585
11,2,0.7586776979419957
12,2,0.7972762197156618
13,1,0.9311663351707073
13,3,0.9140034019548327
14,3,0.7960537344876036
16,3,0.6394930476377885
16,4,0.6043464641525548
17,3,0.7425484493624009
18,3,0.8295115962434628
19,1,0.9009714057223247
19,4,0.8292400102952786
20,2,0.7231107860036584
20,4,0.8309701694749045
21,3,0.6043464641525548
21,4,0.6394930476377885
23,4,0.8092233418509223
24,4,0.8664517751302808
